품명,가격,카테고리,생산지,품종,당도,산도,바디,타닌
"앙리 부르주아, 뿌이 퓌메 엉 트라베르땅",가격정보없음,화이트,프랑스,소비뇽 블랑 (Sauvignon Blanc) ,1,0,2,0
"앙리 부르주아, 상세르 당탕",가격정보없음,화이트,프랑스,소비뇽 블랑 (Sauvignon Blanc) ,1,4,3,1
"앙리 부르주아, 상쎄르 에띠엔 앙리",가격정보없음,화이트,프랑스,소비뇽 블랑 (Sauvignon Blanc) ,1,3,4,1
"앙리 부르주아, 상세르 르 쉔 생 떼띠엔",가격정보없음,화이트,프랑스,소비뇽 블랑 (Sauvignon Blanc) ,1,4,3,1
"앙리 부르주아, 상쎄르 르 엠디 드 부르주아",가격정보없음,화이트,프랑스,소비뇽 블랑 (Sauvignon Blanc) ,1,0,3,0
"앙리 부르주아, 상쎄르 레 바론","69,000원",화이트,프랑스,소비뇽 블랑 (Sauvignon Blanc) ,1,4,3,1
"헨쉬키, 줄리우스 리슬링",가격정보없음,화이트,호주,리슬링 (Riesling) ,1,0,4,0
"헨쉬키, 마운트 에델스톤 쉬라즈","560,000원",레드,호주,시라/쉬라즈 (Syrah/Shiraz) ,1,4,4,5
헤스 컬렉션 샤도네,가격정보없음,화이트,미국,샤르도네 (Chardonnay) ,1,3,4,1
"휘겔 에 피스, 게뷔르츠트라미너",가격정보없음,화이트,프랑스,게뷔르츠트라미너 (Gewurztraminer) ,2,3,3,1
"파미유 위겔, 게뷔르츠트라미너 방당주 타르디브",가격정보없음,화이트,프랑스,게뷔르츠트라미너 (Gewurztraminer) ,4,4,4,1
"휘겔 에 피스, 피노 그리 트라디시옹",가격정보없음,화이트,프랑스,피노 그리 (Pinot Gris) ,1,0,3,0
"휘겔 에 피스, 피노 누아",가격정보없음,레드,프랑스,피노 누아 (Pinot Noir) ,1,0,3,0
"휘겔 에 피스, 리슬링",가격정보없음,화이트,프랑스,리슬링 (Riesling) ,1,5,3,1
"휘겔 에 피스, 리슬링 쥬빌레",가격정보없음,화이트,프랑스,리슬링 (Riesling) ,1,3,4,1
"샹파뉴 자크송, 아비즈 그랑 크뤼",가격정보없음,스파클링,프랑스,샤르도네 (Chardonnay) ,1,5,4,1
"짐 베리, 랏지 힐 쉬라즈","55,000원",레드,호주,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
"짐 베리, 맥레이 우드 쉬라즈","135,000원",레드,호주,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
"죠셉 펠프스, 카버네 소비뇽 배커스 빈야드",가격정보없음,레드,미국,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,4
"죠셉 펠프스, 아이스레베 375ml","140,000원",화이트,미국,쇼이레베 (Scheurebe) ,5,0,4,0
"죠셉 펠프스, 오베이션 샤도네","99,000원",화이트,미국,샤르도네 (Chardonnay) ,1,0,0,0
"죠셉 펠프스, 오베이션 샤도네이",가격정보없음,화이트,미국,샤르도네 (Chardonnay) ,1,3,3,1
"죠셉 펠프스, 시라",가격정보없음,레드,미국,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
"킴 크로포드, 헉스 베이 멀롯",가격정보없음,레드,뉴질랜드,메를로 (Merlot) ,1,3,3,3
킴 크로포드 소비뇽 블랑,가격정보없음,화이트,뉴질랜드,소비뇽 블랑 (Sauvignon Blanc) ,1,0,2,0
"킴 크로포드, 언오크트 샤도네",가격정보없음,화이트,뉴질랜드,샤르도네 (Chardonnay) ,1,4,3,1
"킴 크로포드, 테 아왕가 멀롯",가격정보없음,레드,뉴질랜드,메를로 (Merlot) ,1,4,3,4
"키슬러,  레 누아제티에 샤도네이","220,000원",화이트,미국,샤르도네 (Chardonnay) ,1,3,4,1
"키슬러, 샤도네 레 누아제티에",가격정보없음,화이트,미국,샤르도네 (Chardonnay) ,1,3,4,1
"키슬러, 샤도네 소노마 코스트","240,000원",화이트,미국,샤르도네 (Chardonnay) ,1,3,4,1
"롱 메도우 랜치, 카버르네 소비뇽",가격정보없음,레드,미국,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,4,5
