품명,가격,카테고리,생산지,품종,당도,산도,바디,타닌
"조잘, 떼루아 우니코 말벡","47,000원",레드,아르헨티나,말벡 (Malbec) ,1,3,4,4
"조잘, 그랑 떼루아 말벡","75,000원",레드,아르헨티나,말벡 (Malbec) ,1,3,5,4
"모란데, 리제르바 피노 그리지오","37,000원",화이트,칠레,피노 그리지오 (Pinot Grigio) ,1,3,2,1
"모란데, 그란 레세르바 피노 누아","55,000원",레드,칠레,피노 누아 (Pinot Noir) ,1,0,3,0
"하이와이어, 까베르네 쇼비뇽","80,000원",레드,미국,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,3
"제이 제이 프륌,  리슬링 카비넷",가격정보없음,화이트,독일,리슬링 (Riesling) ,2,5,2,1
"제이 제이 프륌, 벨레너 존넨우어 리슬링 아우스레제",가격정보없음,화이트,독일,리슬링 (Riesling) ,4,2,4,1
"프란쩬, 데어 좀머 바 제어 그로쓰",가격정보없음,화이트,독일,리슬링 (Riesling) ,1,5,2,1
디히터트라움 아이스와인젝트,가격정보없음,스파클링,독일,실바너 (Silvaner) ,5,2,4,1
디히터트라움 트로켄 ,가격정보없음,스파클링,독일,리슬링 (Riesling) ,1,5,3,1
"루돌프 퓌어스트, 슈페트부르군더 트래디션",가격정보없음,레드,독일,슈페트부르군더 (Spatburgunder) ,1,4,3,3
"루돌프 퓌어스트, 리슬링 퓨어 미네랄",가격정보없음,화이트,독일,리슬링 (Riesling) ,1,5,2,1
"루돌프 퓌어스트, 슈페트부르군더 센트그라펜베르그 그로쎄스 게벡스",가격정보없음,레드,독일,슈페트부르군더 (Spatburgunder) ,2,4,3,3
"로메로 디 아빌라 살세도, 본다드 베르데호 비노 블랑코",가격정보없음,화이트,스페인,베르데호 (Verdejo) ,1,3,2,1
포르텐토 로블스,가격정보없음,레드,스페인,템프라니요 (Tempranillo) ,1,3,4,4
"한, 에스엘에이치 샤도네이",가격정보없음,화이트,미국,샤르도네 (Chardonnay) ,1,3,4,1
"펠프스 크릭, 플레르 드 로이 로제 피노 누아","95,000원",로제,미국,피노 누아 (Pinot Noir) ,2,5,3,3
"펠프스 크릭, 뀌베 알렉산드린 피노 누아","220,000원",레드,미국,피노 누아 (Pinot Noir) ,1,5,3,3
"에멘디스, 까바 로제 브뤼 이뭄",가격정보없음,스파클링,스페인,피노 누아 (Pinot Noir) ,1,3,3,1
"에멘디스, 마터 메를로",가격정보없음,레드,스페인,메를로 (Merlot) ,1,3,3,2
"알리베스, 라 갈라나 틴토레라","55,000원",레드,스페인,가르나차  (Garnacha) ,1,3,3,3
"그라함 알타노, 레제르바",가격정보없음,레드,포르투갈,투리가 나시오날 (Touriga Nacional) ,0,0,0,0
"리카솔리, 꼴레 디 라","152,000원",레드,이탈리아,산지오베제 (Sangiovese) ,1,3,3,3
"퀸 애들레이드, 모스카토 ","36,000원",화이트,호주,모스카토  (Moscato ) ,4,2,2,1
"퀸 애들레이드, 리슬링 ","36,000원",화이트,호주,리슬링 (Riesling) ,1,2,3,1
"퀸 애들레이드, 소비뇽 블랑 ","36,000원",화이트,호주,소비뇽 블랑 (Sauvignon Blanc) ,1,4,2,1
"퀸 애들레이드, 샤르도네 ","36,000원",화이트,호주,샤르도네 (Chardonnay) ,1,3,3,1
"퀸 애들레이드, 까베르네 쇼비뇽","36,000원",레드,호주,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,3,4
캐서린 힐즈 쉬라즈 ,"36,000원",레드,호주,시라/쉬라즈 (Syrah/Shiraz) ,1,3,3,3
"쉴드, 쉬라즈","85,000원",레드,호주,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,3
"쉴드 에스테이트, 까베르네 쇼비뇽   ","85,000원",레드,호주,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,4
"쉴드, 샤르도네 ","52,000원",화이트,호주,샤르도네 (Chardonnay) ,1,3,4,1
"백하우스, 까베르네 소비뇽",가격정보없음,레드,미국,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,3,4
"백하우스, 메를로",가격정보없음,레드,미국,메를로 (Merlot) ,1,3,3,3
"백하우스, 샤르도네",가격정보없음,화이트,미국,샤르도네 (Chardonnay) ,1,3,4,1
"까사 까스띠요, 모나스트렐","46,000원",레드,스페인,모나스트렐 (Monastrell) ,1,3,4,4
롤링 스톤즈 포티 릭스,가격정보없음,레드,미국,메를로 (Merlot) ,1,3,3,3
"코노 수르, 싱글 빈야드 메를로","52,000원",레드,칠레,메를로 (Merlot) ,1,3,3,4
"다렌버그, 코퍼마인 로드 까베르네쇼비뇽",가격정보없음,레드,호주,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,5,5
"보르고 마갈리아노, 라 깔리에라",가격정보없음,화이트,이탈리아,모스카토  (Moscato ) ,4,2,2,1
"루이 막스, 끌리마 오 밸리 샤도네이","40,000원",화이트,프랑스,샤르도네 (Chardonnay) ,1,4,3,1
"루이 막스, 오 밸리 피노 누아","40,000원",레드,프랑스,피노 누아 (Pinot Noir) ,1,4,3,2
"루이 막스, 뉘 생 조르지 '레 리브레'","232,000원",레드,프랑스,피노 누아 (Pinot Noir) ,1,4,3,2
"루이 막스, 지브리 샹베르땅 '레 아제로떼'","226,000원",레드,프랑스,피노 누아 (Pinot Noir) ,1,3,4,2
"루이 막스, 에세죠 그랑 크뤼 ","800,000원",레드,프랑스,피노 누아 (Pinot Noir) ,1,4,4,3
"핑카 안티구아, 가르나차","36,500원",레드,스페인,가르나차  (Garnacha) ,1,3,3,3
"핑카 안티구아, 템프라니요","37,500원",레드,스페인,템프라니요 (Tempranillo) ,1,3,4,3
"레알 꼼빠니아, 가르나차","28,000원",레드,스페인,가르나차  (Garnacha) ,1,3,3,3
"레알 꼼빠니아 드 비노스, 블랑코","28,000원",화이트,스페인,마카베오 (Macabeo) ,1,3,3,1
"조셉 드라덴, 코블렌츠 스파클링 트로켄","25,000원",스파클링,독일,리슬링 (Riesling) ,1,4,2,1
"오하우 와인즈, 워번 스톤 피노 누아",가격정보없음,레드,뉴질랜드,피노 누아 (Pinot Noir) ,1,3,3,2
"수아비아, 몬테 까르보나레",가격정보없음,화이트,이탈리아,가르가네가 (Garganega) ,1,5,1,1
"수아비아, 레 리베",가격정보없음,화이트,이탈리아,가르가네가 (Garganega) ,1,5,1,1
피르카스 까베르네 쇼비뇽,가격정보없음,레드,칠레,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,4
"페어뷰, 달링 슈냉 블랑",가격정보없음,화이트,남아프리카,슈냉 블랑 (Chenin Blanc) ,1,4,3,1
"포데리 콜라, 바르베라 달바 코스타 브루나",가격정보없음,레드,이탈리아,바르베라 (Barbera) ,1,4,3,2
"알도 콘테르노, 바롤로","422,000원",레드,이탈리아,네비올로 (Nebbiolo) ,1,0,5,0
"알도 콘테르노, 바롤로","422,000원",레드,이탈리아,네비올로 (Nebbiolo) ,1,0,5,0
"알도 콘테르노, 바롤로","422,000원",레드,이탈리아,네비올로 (Nebbiolo) ,1,0,5,0
"알도 콘테르노, 바롤로","422,000원",레드,이탈리아,네비올로 (Nebbiolo) ,1,0,5,0
"알도 콘테르노, 바롤로","422,000원",레드,이탈리아,네비올로 (Nebbiolo) ,1,4,5,5
"델리카토, 로디 181 메를로","54,000원",레드,미국,메를로 (Merlot) ,1,4,4,4
"필립 & 뱅상 르쉐노, 벙투 수드 블랑",가격정보없음,화이트,프랑스,그르나슈 블랑 (Grenache Blanc) ,1,3,2,1
"도멘 드 라 꼬뜨, 산타리타 힐스 피노누아","103,000원",레드,미국,피노 누아 (Pinot Noir) ,1,3,4,3
"롬폭, 산타리타 힐즈 피노누아","90,000원",레드,미국,피노 누아 (Pinot Noir) ,1,4,4,2
"에게르떼, 샤블리 리저브 페르쏘네","120,000원",화이트,프랑스,샤르도네 (Chardonnay) ,1,4,4,1
"띠에라 로하, 까베르네 쇼비뇽 오크빌","750,000원",레드,미국,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,5,5
"루이 막스, 샤블리 생 장","120,000원",화이트,프랑스,샤르도네 (Chardonnay) ,1,4,3,1
"루이 막스, 머큐리 '끌로 라 마르쉐' 모노폴","146,000원",레드,프랑스,피노 누아 (Pinot Noir) ,1,3,3,2
"로랑 페리에, 퀴베 로제 브룻 1500ml",가격정보없음,스파클링,프랑스,피노 누아 (Pinot Noir) ,1,0,0,0
"까사 까스띠요, 모나스트렐",가격정보없음,레드,스페인,모나스트렐 (Monastrell) ,1,0,0,0
"코노 수르, 비씨끌레따 까베르네 소비뇽 375ml",가격정보없음,레드,칠레,카베르네 소비뇽 (Cabernet Sauvignon) ,1,0,4,0
"코노 수르, 투웬티 배럴즈 샤도네",가격정보없음,화이트,칠레,샤르도네 (Chardonnay) ,1,0,4,0
"코노 수르, 비씨끌레따 리슬링",가격정보없음,화이트,칠레,리슬링 (Riesling) ,1,4,3,1
베라몬테 프리머스 까베르네 쇼비뇽,가격정보없음,레드,칠레,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,4,4
마운트 릴리 리슬링,가격정보없음,화이트,뉴질랜드,리슬링 (Riesling) ,3,5,3,1
"진트 훔브레이트, 리슬링 하임부르그","145,000원",화이트,프랑스,리슬링 (Riesling) ,1,3,3,1
"진트 훔브레이트, 게뷔르츠트라미너 투르크하임 ","80,000원",화이트,프랑스,게뷔르츠트라미너 (Gewurztraminer) ,3,3,3,1
"진트 훔브레이트, 게뷔르츠트라미너 골데르트 그랑크뤼 ","165,000원",화이트,프랑스,게뷔르츠트라미너 (Gewurztraminer) ,1,3,3,1
"진트 훔브레이트, 피노그리 로텐베르그 셀렉시옹 드 그랑 노블 ","450,000원",화이트,프랑스,피노 그리 (Pinot Gris) ,5,2,4,1
마쏠리노 바롤로 마르게리아,"250,000원",레드,이탈리아,네비올로 (Nebbiolo) ,1,3,4,4
"콘테르노 판티노, 바롤로 모스코니",가격정보없음,레드,이탈리아,네비올로 (Nebbiolo) ,1,0,4,0
"G.B. 부를로토, 바롤로 아클리비","150,000원",레드,이탈리아,네비올로 (Nebbiolo) ,1,3,4,5
"지오반니 알몬도, 로에로 브릭 발디아나",가격정보없음,레드,이탈리아,네비올로 (Nebbiolo) ,1,0,4,0
"라 라시나, 브루넬로 디 몬탈치노 리제르바 일 디바스코","200,000원",레드,이탈리아,산지오베제 그로쏘  (Sangiovese Grosso) ,1,3,5,4
"카프릴리, 브루넬로 디 몬탈치노",가격정보없음,레드,이탈리아,산지오베제 (Sangiovese) ,1,3,4,4
"티펜브루너, 뮬러 트루가우 ","48,000원",화이트,이탈리아,뮐러 트루가우 (Muller Thurgau) ,1,3,3,1
"트펜브루너, 소비뇽 키르클레이튼","60,000원",화이트,이탈리아,소비뇽 블랑 (Sauvignon Blanc) ,1,3,2,1
"마리오 스끼오뻬또, 프리울라노",가격정보없음,화이트,이탈리아,프리울라노 (Friulano) ,1,0,3,0
"마리오 스키오페토, 프리울라노","55,000원",화이트,이탈리아,프리울라노 (Friulano) ,1,3,3,1
"마리오 스끼오뻬또, 삐노 비앙코",가격정보없음,화이트,이탈리아,피노 비앙코 (Pinot Bianco) ,1,0,3,0
"마리오 스키오페토, 피노 비앙코","55,000원",화이트,이탈리아,피노 비앙코 (Pinot Bianco) ,1,3,2,1
"마리오 스키오페토, 피노 그리지오","55,000원",화이트,이탈리아,피노 그리지오 (Pinot Grigio) ,1,3,3,1
"다미안, 리볼라 지알라","145,000원",화이트,이탈리아,리볼라 지알라 (Ribolla Gialla) ,1,0,4,0
"스포르톨레티, 아씨시 그레케토 비앙코",가격정보없음,화이트,이탈리아,그레케토 비앙코 (Grechetto Bianco) ,1,3,3,1
"비쉬, 베르디끼오 디 마텔리카 파시토","120,000원",화이트,이탈리아,베르디키오 비앙코 (Verdicchio Bianco) ,5,3,5,1
"로베르토 보에르지오, 바롤로 브루나테","733,000원",레드,이탈리아,네비올로 (Nebbiolo) ,1,4,5,5
"로베르토 보에르치오, 바롤로 라 쎄라",가격정보없음,레드,이탈리아,네비올로 (Nebbiolo) ,1,0,0,0
"로베르토 보에르지오, 바롤로 라 세라","665,000원",레드,이탈리아,네비올로 (Nebbiolo) ,1,4,4,5
"로베르토 보에르치오, 바롤로 체레뀌오","750,000원",레드,이탈리아,네비올로 (Nebbiolo) ,1,0,5,0
"로베르토 보에르치오, 바롤로 체레뀌오","670,000원",레드,이탈리아,네비올로 (Nebbiolo) ,1,0,5,0
"로베르토 보에르지오, 바롤로 체레퀴오","696,000원",레드,이탈리아,네비올로 (Nebbiolo) ,1,3,5,4
"로베르토 보에르지오, 바롤로 로께 델라눈지아타 토리지오네","670,000원",레드,이탈리아,네비올로 (Nebbiolo) ,1,0,5,0
"로베르토 보에르지오, 바롤로 로케 델라눈지아타","700,000원",레드,이탈리아,네비올로 (Nebbiolo) ,1,4,4,5
"단테 리베띠, 바르바레스코 브리꼬 데 네우에이 리제르바",가격정보없음,레드,이탈리아,네비올로 (Nebbiolo) ,1,0,4,0
"발디카바, 브루넬로 디 몬탈치노 리제르바 마돈나 델 피아노","380,000원",레드,이탈리아,산지오베제 그로쏘  (Sangiovese Grosso) ,1,0,5,0
"발디카바, 브루넬로 디 몬탈치노 리제르바 마돈나 델 피아노",가격정보없음,레드,이탈리아,산지오베제 그로쏘  (Sangiovese Grosso) ,1,3,5,3
체르바이올라 브루넬로 디 몬탈치노 쌀비오니,"530,000원",레드,이탈리아,산지오베제 (Sangiovese) ,1,0,4,0
체르바이올라 브루넬로 디 몬탈치노 쌀비오니,"380,000원",레드,이탈리아,산지오베제 (Sangiovese) ,1,0,4,0
체르바이올라 브루넬로 디 몬탈치노 살비오니,"390,000원",레드,이탈리아,산지오베제 (Sangiovese) ,1,3,4,3
"르 마끼올레, 메쏘리오","670,000원",레드,이탈리아,메를로 (Merlot) ,1,0,5,0
"르 마끼올레, 메쏘리오 1500ml",가격정보없음,레드,이탈리아,메를로 (Merlot) ,1,0,5,0
"산 쥬스토 렌테나노, 뻬르카를로 1500ml","420,000원",레드,이탈리아,산지오베제 (Sangiovese) ,1,0,4,0
"산 쥬스토 렌테나노, 뻬르카를로","210,000원",레드,이탈리아,산지오베제 (Sangiovese) ,1,0,4,0
"파토리아 포찌오피아노, 타페 타","450,000원",레드,이탈리아,콜로리노 (Colorino) ,1,0,4,0
칭퀘테레 뻬르골레 스파르세 ,"80,000원",화이트,이탈리아,보스코 (Bosco) ,1,3,4,1
장 자크 꽁퓨롱 로마네 생 비방 그랑 크뤼,"1,000,000원",레드,프랑스,피노 누아 (Pinot Noir) ,1,0,4,0
"가르시아 데 올라노, 크리안자 1500ml","70,000원",레드,스페인,템프라니요 (Tempranillo) ,1,0,3,0
"모란데, 그란 레세르바 메를로","55,000원",레드,칠레,메를로 (Merlot) ,1,0,5,0
오 멜롯,가격정보없음,레드,프랑스,메를로 (Merlot) ,2,3,3,2
오 소비뇽 블랑,가격정보없음,화이트,프랑스,소비뇽 블랑 (Sauvignon Blanc) ,2,4,3,1
오 쉬라 로제,가격정보없음,로제,프랑스,시라/쉬라즈 (Syrah/Shiraz) ,2,3,3,1
"파네세, 오피 페코리노",가격정보없음,화이트,이탈리아,페코리노 (Pecorino) ,1,3,3,1
"베세보, 베네벤타노 팔랑기나","72,000원",화이트,이탈리아,팔랑기나 (Falanghina) ,1,3,3,1
"루카렐리, 네그로아마로","53,000원",레드,이탈리아,네그로아마로 (Negroamaro) ,1,3,4,3
"루카렐리, 깜뽀 마리나 프리미티보 디 만두리아","80,000원",레드,이탈리아,프리미티보 (Primitivo) ,1,3,5,3
"루카렐리, 폴레 프리미티보 디 만두리아",가격정보없음,레드,이탈리아,프리미티보 (Primitivo) ,2,2,5,3
"비네티 자부, 자부 그릴로",가격정보없음,화이트,이탈리아,그릴로 (Grillo) ,1,3,2,1
"비비 그라츠, 르 치칼레 디 빈칠리아타 키안티","64,000원",레드,이탈리아,산지오베제 (Sangiovese) ,1,3,3,3
"테레다비노, 아시나리 브라께토 다뀌 스푸만테 ",가격정보없음,스파클링,이탈리아,브라케토 (Brachetto) ,4,1,2,1
"안델루나, 알티튜드 샤르도네",가격정보없음,화이트,아르헨티나,샤르도네 (Chardonnay) ,1,3,4,1
"안델루나, 파시오나도 까베르네 프랑","245,000원",레드,아르헨티나,카베르네 프랑 (Cabernet Franc) ,1,4,4,4
도멘 알랭 샤바농 르 메를르 오 잘루에뜨 ,가격정보없음,레드,프랑스,메를로 (Merlot) ,1,3,4,3
씨에르 다르퀴 클로쉐 드 말라,가격정보없음,화이트,프랑스,샤르도네 (Chardonnay) ,1,0,4,0
씨에르 다르퀴 클로쉐 드 말라,가격정보없음,화이트,프랑스,샤르도네 (Chardonnay) ,1,4,3,1
"슈램스버그, 블랑 드 블랑 ",가격정보없음,스파클링,미국,샤르도네 (Chardonnay) ,1,0,3,0
"토크 에 클로쉐, 클로쉐 드 꾸이자",가격정보없음,화이트,프랑스,샤르도네 (Chardonnay) ,1,4,3,1
"토크 에 클로쉐, 클로쉐 드 부리에즈  ",가격정보없음,화이트,프랑스,샤르도네 (Chardonnay) ,1,3,3,1
토크 에 클로쉐 클로쉐 드 코니악 드 라 몽따뉴  ,가격정보없음,화이트,프랑스,샤르도네 (Chardonnay) ,1,3,4,1
토크 에 클로쉐 클로쉐 드 쌩 세르닌  ,가격정보없음,화이트,프랑스,샤르도네 (Chardonnay) ,1,3,3,1
"토크 에 클로쉐, 클로쉐 드 라 세르펑",가격정보없음,화이트,프랑스,샤르도네 (Chardonnay) ,1,4,3,1
도멘 뒤 클로 데 페 라 쁘띠뜨 시베리,가격정보없음,레드,프랑스,그르나슈 (Grenache) ,1,3,5,3
"장 뤽 발데스, 프로뷰스",가격정보없음,레드,프랑스,말벡 (Malbec) ,1,4,5,4
"장 뤽 발데스, 더 뉴 블랙 와인",가격정보없음,레드,프랑스,말벡 (Malbec) ,1,3,5,4
샤또 르 퓌 마리 쎄실,가격정보없음,화이트,프랑스,세미용 (Semillon) ,1,4,4,1
"도멘 스테판 오지에, 꽁드리외 '라 꼼 드 말발'",가격정보없음,화이트,프랑스,비오니에 (Viognier) ,1,3,3,1
"도멘 스테판 오지에, 꼬뜨 로띠 '라 벨레 헬레네' ",가격정보없음,레드,프랑스,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,3
"로레단 가스파리니, 프로세코 브뤼","48,000원",스파클링,이탈리아,프로세코 (Prosecco) ,1,3,2,1
"아딸라야스 드 골반, 비리디아나","48,000원",레드,스페인,템프라니요 (Tempranillo) ,1,3,4,3
"인도미타, 프리미엄 듀엣 피노 누아","110,000원",레드,칠레,피노 누아 (Pinot Noir) ,1,4,3,3
노스트로스 그랑 리저브 까베르네 쇼비뇽,"38,000원",레드,칠레,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,3,3
노스트로스 리제르바 까베르네쇼비뇽,"28,000원",레드,칠레,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,3
"마노 아 마노, 마농 노블",가격정보없음,레드,스페인,템프라니요 (Tempranillo) ,1,3,3,3
"뮬러 카토아, 만델가르텐 리슬링 스페트레제","166,000원",화이트,독일,리슬링 (Riesling) ,2,5,2,1
"마테틱, 코라릴로 리저브 시라","64,000원",레드,칠레,시라/쉬라즈 (Syrah/Shiraz) ,1,3,5,4
"오드펠, 아르마도르 소비뇽 블랑","42,000원",화이트,칠레,소비뇽 블랑 (Sauvignon Blanc) ,1,3,2,1
오드펠,가격정보없음,레드,칠레,말벡 (Malbec) ,1,3,5,5
오텔라 르 크레테,"100,000원",화이트,이탈리아,트레비아노 (Trebbiano) ,1,3,3,1
"미 떼루노, 마야카바 말벡","83,000원",레드,아르헨티나,말벡 (Malbec) ,1,3,5,5
20 마일,가격정보없음,레드,프랑스,메를로 (Merlot) ,1,3,5,4
도멘 라울 고테린 에 피 샤블리,가격정보없음,화이트,프랑스,샤르도네 (Chardonnay) ,1,5,3,1
"도멘 라울 고테린 에 피, 샤블리 프르미에 크뤼 '바이용'",가격정보없음,화이트,프랑스,샤르도네 (Chardonnay) ,1,4,4,1
도멘 라울 고테린 에 피 샤블리 그랑 크뤼 '그르누이',가격정보없음,화이트,프랑스,샤르도네 (Chardonnay) ,1,4,4,1
"오 봉 클리마, 피노 누아 로스 알라모스 ",가격정보없음,레드,미국,피노 누아 (Pinot Noir) ,1,3,3,3
"바리치, 브루넬로 디 몬탈치노",가격정보없음,레드,이탈리아,산지오베제 (Sangiovese) ,1,3,4,4
"바리치, 로쏘 디 몬탈치노",가격정보없음,레드,이탈리아,산지오베제 (Sangiovese) ,1,3,3,2
"허쉬, 산 안드레아스 피노 누아",가격정보없음,레드,미국,피노 누아 (Pinot Noir) ,1,0,3,0
"도미니오 드 핑구스, 플로 드 핑구스","384,000원",레드,스페인,템프라니요 (Tempranillo) ,1,4,5,5
"도미니오 드 핑구스, 핑구스","3,600,000원",레드,스페인,템프라니요 (Tempranillo) ,1,5,5,5
"레꼴 넘버 41, 콜럼비아 밸리 카버네 소비뇽",가격정보없음,레드,미국,카베르네 소비뇽 (Cabernet Sauvignon) ,1,0,4,0
샤또 세르땅 마르젤,가격정보없음,레드,프랑스,메를로 (Merlot) ,1,0,4,0
샤또 세르땅 마르젤,가격정보없음,레드,프랑스,메를로 (Merlot) ,1,3,5,4
"파토리아 라 트라이아나, 깜포지알리 샤르도네",가격정보없음,화이트,이탈리아,샤르도네 (Chardonnay) ,1,3,4,1
"떼라방, 소비뇽 블랑",가격정보없음,화이트,뉴질랜드,소비뇽 블랑 (Sauvignon Blanc) ,1,5,3,1
"떼라방, 싱글 빈야드 소비뇽 블랑",가격정보없음,화이트,뉴질랜드,소비뇽 블랑 (Sauvignon Blanc) ,1,5,3,1
"떼라방, 피노 누아",가격정보없음,레드,뉴질랜드,피노 누아 (Pinot Noir) ,1,3,3,2
"떼라방, 힐사이드 피노 누아 리저브",가격정보없음,레드,뉴질랜드,피노 누아 (Pinot Noir) ,1,3,4,2
코일레 코스타 소비뇽 블랑,가격정보없음,화이트,칠레,소비뇽 블랑 (Sauvignon Blanc) ,1,4,3,1
레이지 베이 쉬라즈,가격정보없음,레드,남아프리카,시라/쉬라즈 (Syrah/Shiraz) ,1,4,4,4
레이지 베이 슈냉 블랑,가격정보없음,화이트,남아프리카,슈냉 블랑 (Chenin Blanc) ,2,4,3,1
몬텔리아나 아솔로 프로세코 엑스트라 드라이,가격정보없음,스파클링,이탈리아,프로세코 (Prosecco) ,1,4,3,1
"장 비셔 앤 필, 알자스 리슬링","35,000원",화이트,프랑스,리슬링 (Riesling) ,1,5,3,1
까삐께라,"121,000원",화이트,이탈리아,베르멘티노 (Vermentino) ,1,3,4,1
까삐께라 린토리 베르멘티노 ,"45,000원",화이트,이탈리아,베르멘티노 (Vermentino) ,1,3,3,1
루이 플뢰로 부르고뉴 피노 누아,"55,000원",레드,프랑스,피노 누아 (Pinot Noir) ,1,5,2,2
"루이 플뢰로, 부르고뉴 피노 누아","55,000원",레드,프랑스,피노 누아 (Pinot Noir) ,1,4,2,2
도멘 라퐁 에깟,가격정보없음,레드,프랑스,따나 (Tannat) ,1,3,5,5
"부샤르 뻬레 에 피스, 꼬뜨 드 뉘 빌라쥐",가격정보없음,레드,프랑스,피노 누아 (Pinot Noir) ,1,3,3,3
"부샤르 뻬레 에 피스, 슈발리에 몽라쉐 그랑 크뤼",가격정보없음,화이트,프랑스,샤르도네 (Chardonnay) ,1,4,4,1
"샤또 드 라뚜르, 끌로 드 부죠 그랑 크뤼","490,000원",레드,프랑스,피노 누아 (Pinot Noir) ,1,0,4,0
"샤또 드 라뚜르, 피에르 라벳 부르고뉴 피노 누아 올드 바인",가격정보없음,레드,프랑스,피노 누아 (Pinot Noir) ,1,0,3,0
아낄레 바롤로 부시아,"174,000원",레드,이탈리아,네비올로 (Nebbiolo) ,1,4,3,5
아낄레 바롤로 리제르바 라모라 ,"195,000원",레드,이탈리아,네비올로 (Nebbiolo) ,1,4,4,5
아낄레 바르바레스코 아실리,"140,000원",레드,이탈리아,네비올로 (Nebbiolo) ,1,4,3,4
"모란데, 에디씨옹 리미따다 쇼비뇽 블랑","68,000원",화이트,칠레,소비뇽 블랑 (Sauvignon Blanc) ,1,0,1,0
"모란데, 레세르바 까르미네르 375ml","20,000원",레드,칠레,카르메네르 (Carmenere) ,1,0,4,0
몬테스 알파 샤도네 375ml,"28,000원",화이트,칠레,샤르도네 (Chardonnay) ,1,0,4,0
"헨쉬키, 힐 오브 그레이스","1,755,000원",레드,호주,시라/쉬라즈 (Syrah/Shiraz) ,1,4,5,5
"스티븐 켄트, 리츠 뀌베 샤도네이","40,000원",화이트,미국,샤르도네 (Chardonnay) ,1,3,4,1
엔트와인 메를로,가격정보없음,레드,미국,메를로 (Merlot) ,2,3,3,3
엔트와인 피노 그리지오,가격정보없음,화이트,미국,피노 그리지오 (Pinot Grigio) ,1,3,3,1
"잔느 가이야르, 시라 '테레 드 망드랭'","50,000원",레드,프랑스,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
"잔느 가이야르, 비오니에","72,000원",화이트,프랑스,비오니에 (Viognier) ,1,3,3,1
레 부와르,"75,000원",레드,프랑스,카베르네 프랑 (Cabernet Franc) ,1,3,4,3
다인하드 1794,가격정보없음,화이트,독일,모스카토  (Moscato ) ,3,5,2,1
아네쿱 후안 데 후아네스 벤디미아 플라타 쁘띠 베르도 ,"60,000원",레드,스페인,쁘띠 베르도 (Petit Verdot) ,1,3,5,3
"비나 엘 아로모, 산타 인피니토 리저바도 까베르네 소비뇽 ","20,000원",레드,칠레,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,5
비나 엘 아로모 산타 인피니토 리저바도 멜롯,"45,000원",레드,칠레,메를로 (Merlot) ,1,0,4,0
뷰 마넨 스페셜 레세르바 까베르네 소비뇽,"44,000원",레드,칠레,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,3,4
뷰 마넨 스페셜 레세르바 말벡,"44,000원",레드,칠레,말벡 (Malbec) ,1,3,3,4
뷰 마넨 싱글 빈야드 시라,"115,000원",레드,칠레,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,5
"루이 자도, 부르고뉴 피노누아","35,000원",레드,프랑스,피노 누아 (Pinot Noir) ,1,4,2,2
"루이 자도, 부르고뉴 블랑 375ml",가격정보없음,화이트,프랑스,샤르도네 (Chardonnay) ,1,0,3,0
"루이 자도, 부르고뉴 블랑",가격정보없음,화이트,프랑스,샤르도네 (Chardonnay) ,1,0,3,0
"루이 자도, 부르고뉴 샤르도네","35,000원",화이트,프랑스,샤르도네 (Chardonnay) ,1,3,3,1
"루이 자도, 줴브리 샹베르탱 1er 크뤼 '라보 생 작크'",가격정보없음,레드,프랑스,피노 누아 (Pinot Noir) ,1,4,4,2
"루이 자도, 바타르 몽라쉐 그랑 크뤼",가격정보없음,화이트,프랑스,샤르도네 (Chardonnay) ,1,0,5,0
"루이 자도, 비엥브뉴 바타르 몽라쉐 그랑 크뤼",가격정보없음,화이트,프랑스,샤르도네 (Chardonnay) ,1,5,5,1
"루이 자도, 크리오 바타르 몽라쉐 그랑 크뤼",가격정보없음,화이트,프랑스,샤르도네 (Chardonnay) ,1,0,5,0
"루이 자도, 메르퀴레 루즈",가격정보없음,레드,프랑스,피노 누아 (Pinot Noir) ,1,4,2,2
"제라르 베르트랑, 도멘 드레글 피노누아",가격정보없음,레드,프랑스,피노 누아 (Pinot Noir) ,1,4,2,2
제라르 베르트랑 리저브 스페셜 피노누아,가격정보없음,레드,프랑스,피노 누아 (Pinot Noir) ,1,0,3,0
제라르 베르트랑 리저브 스페셜 까베르네 쇼비뇽,가격정보없음,레드,프랑스,카베르네 소비뇽 (Cabernet Sauvignon) ,1,0,5,0
