,품종,당도,산도,바디,타닌
153,샤르도네 (Chardonnay) ,1,4,3,1
154,피노타주 (Pinotage) ,1,4,3,3
155,시라/쉬라즈 (Syrah/Shiraz) ,1,4,4,4
156,소비뇽 블랑 (Sauvignon Blanc) ,1,5,3,1
157,카베르네 소비뇽 (Cabernet Sauvignon) ,1,0,3,0
158,시라/쉬라즈 (Syrah/Shiraz) ,1,0,3,0
159,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,3
160,시라/쉬라즈 (Syrah/Shiraz) ,1,0,5,0
161,시라/쉬라즈 (Syrah/Shiraz) ,1,0,5,0
162,시라/쉬라즈 (Syrah/Shiraz) ,1,0,0,0
163,카베르네 소비뇽 (Cabernet Sauvignon) ,1,0,0,0
164,샤르도네 (Chardonnay) ,1,4,4,1
165,샤르도네 (Chardonnay) ,1,0,0,0
166,산지오베제 (Sangiovese) ,1,4,4,4
167,산지오베제 (Sangiovese) ,1,3,3,4
168,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
169,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,5,4
170,샤르도네 (Chardonnay) ,1,3,4,1
171,소비뇽 블랑 (Sauvignon Blanc) ,1,4,3,1
172,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,4
173,샤르도네 (Chardonnay) ,1,3,4,1
174,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
175,샤르도네 (Chardonnay) ,1,3,3,1
176,시라/쉬라즈 (Syrah/Shiraz) ,1,3,5,4
177,샤르도네 (Chardonnay) ,1,0,3,0
178,샤르도네 (Chardonnay) ,1,0,3,0
179,샤르도네 (Chardonnay) ,1,0,0,0
180,샤르도네 (Chardonnay) ,1,3,4,1
181,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,5,5
182,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,5,5
183,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,4
184,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,5,4
185,산지오베제 (Sangiovese) ,1,4,3,3
186,샤르도네 (Chardonnay) ,1,4,3,1
187,샤르도네 (Chardonnay) ,1,5,4,1
188,샤르도네 (Chardonnay) ,1,0,3,0
189,샤르도네 (Chardonnay) ,1,0,4,0
190,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,4
191,샤르도네 (Chardonnay) ,1,3,4,1
192,리슬링 (Riesling) ,1,4,4,1
193,시라/쉬라즈 (Syrah/Shiraz) ,1,2,4,4
194,시라/쉬라즈 (Syrah/Shiraz) ,1,2,4,4
195,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,4
196,시라/쉬라즈 (Syrah/Shiraz) ,1,4,4,4
197,샤르도네 (Chardonnay) ,1,3,2,1
198,카베르네 소비뇽 (Cabernet Sauvignon) ,1,2,4,4
199,샤르도네 (Chardonnay) ,1,3,2,1
200,샤르도네 (Chardonnay) ,1,4,2,1
201,카베르네 소비뇽 (Cabernet Sauvignon) ,1,2,4,4
202,샤르도네 (Chardonnay) ,1,4,2,1
203,메를로 (Merlot) ,1,3,3,3
204,산지오베제 (Sangiovese) ,1,0,0,0
205,메를로 (Merlot) ,1,3,3,3
206,네비올로 (Nebbiolo) ,1,4,3,5
207,베르멘티노 (Vermentino) ,1,3,3,1
208,산지오베제 (Sangiovese) ,1,0,0,0
209,산지오베제 (Sangiovese) ,1,0,0,0
210,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,3,3
211,메를로 (Merlot) ,1,3,3,3
212,피노 누아 (Pinot Noir) ,1,5,3,2
213,소비뇽 블랑 (Sauvignon Blanc) ,1,4,3,1
214,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,3,3
215,샤르도네 (Chardonnay) ,1,3,3,1
216,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,3,4
217,샤르도네 (Chardonnay) ,1,3,2,1
218,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,4,4
219,시라/쉬라즈 (Syrah/Shiraz) ,1,3,5,4
220,시라/쉬라즈 (Syrah/Shiraz) ,1,3,5,5
221,시라/쉬라즈 (Syrah/Shiraz) ,1,0,0,0
222,시라/쉬라즈 (Syrah/Shiraz) ,1,4,5,5
223,시라/쉬라즈 (Syrah/Shiraz) ,1,4,5,4
224,까넬리 모스카토  (Canelli Moscato) ,4,0,3,0
225,네비올로 (Nebbiolo) ,1,0,0,0
226,네비올로 (Nebbiolo) ,1,0,0,0
227,네비올로 (Nebbiolo) ,1,0,0,0
228,게뷔르츠트라미너 (Gewurztraminer) ,1,3,3,1
229,리슬링 (Riesling) ,1,4,3,1
230,말벡 (Malbec) ,1,3,4,4
231,말벡 (Malbec) ,1,3,4,3
232,바르베라 (Barbera) ,1,4,3,3
233,네비올로 (Nebbiolo) ,1,4,4,5
234,네비올로 (Nebbiolo) ,1,4,4,5
235,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,5,4
236,모스카토  (Moscato ) ,4,1,3,1
237,피노 누아 (Pinot Noir) ,1,4,2,2
238,피노 누아 (Pinot Noir) ,1,4,2,2
239,시라/쉬라즈 (Syrah/Shiraz) ,1,4,5,5
240,시라/쉬라즈 (Syrah/Shiraz) ,1,4,5,4
241,카베르네 소비뇽 (Cabernet Sauvignon) ,1,0,0,0
242,리슬링 (Riesling) ,5,1,3,1
243,샤르도네 (Chardonnay) ,1,0,3,0
244,리슬링 (Riesling) ,3,5,2,1
245,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,3
246,샤르도네 (Chardonnay) ,1,3,3,1
247,메를로 (Merlot) ,1,3,2,3
248,알리고테 (Aligote) ,1,5,1,1
249,피노 누아 (Pinot Noir) ,1,4,2,2
250,샤르도네 (Chardonnay) ,1,4,4,1
251,피노 누아 (Pinot Noir) ,1,4,2,2
252,피노 누아 (Pinot Noir) ,1,4,3,3
253,피노 누아 (Pinot Noir) ,1,5,2,2
254,피노 누아 (Pinot Noir) ,1,4,3,3
255,피노 누아 (Pinot Noir) ,1,4,2,2
256,피노 누아 (Pinot Noir) ,1,4,2,2
257,샤르도네 (Chardonnay) ,1,4,3,1
258,샤르도네 (Chardonnay) ,1,5,3,1
259,템프라니요 (Tempranillo) ,1,0,0,0
260,템프라니요 (Tempranillo) ,1,0,0,0
261,산지오베제 (Sangiovese) ,1,3,4,4
262,산지오베제 (Sangiovese) ,1,0,0,0
263,산지오베제 (Sangiovese) ,1,4,5,4
264,샤르도네 (Chardonnay) ,1,3,4,1
265,카베르네 소비뇽 (Cabernet Sauvignon) ,1,0,0,0
266,피노 누아 (Pinot Noir) ,1,4,3,2
267,피노 누아 (Pinot Noir) ,1,4,2,2
268,피노 누아 (Pinot Noir) ,1,4,3,3
269,피노 누아 (Pinot Noir) ,1,5,2,2
270,피노 그리 (Pinot Gris) ,1,3,2,1
271,피노 누아 (Pinot Noir) ,1,3,3,3
272,샤르도네 (Chardonnay) ,1,3,3,1
273,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,3,3
274,샤르도네 (Chardonnay) ,1,3,2,1
275,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,3,4
276,샤르도네 (Chardonnay) ,1,3,2,1
277,샤르도네 (Chardonnay) ,1,4,3,1
278,샤르도네 (Chardonnay) ,1,0,0,0
279,피노 누아 (Pinot Noir) ,1,0,0,0
280,샤르도네 (Chardonnay) ,1,0,0,0
281,샤르도네 (Chardonnay) ,1,4,3,1
282,모스카텔 (Moscatel) ,5,2,4,1
283,모스카텔 (Moscatel) ,4,2,4,1
284,샤르도네 (Chardonnay) ,1,3,3,1
285,메를로 (Merlot) ,1,3,3,3
286,리슬링 (Riesling) ,5,4,4,1
287,리슬링 (Riesling) ,1,5,3,1
288,리슬링 (Riesling) ,4,0,0,0
289,리슬링 (Riesling) ,1,5,4,1
290,리슬링 (Riesling) ,5,2,3,1
291,리슬링 (Riesling) ,4,3,4,1
292,리슬링 (Riesling) ,2,5,3,1
293,산지오베제 (Sangiovese) ,1,4,5,4
294,피노 누아 (Pinot Noir) ,1,4,3,2
295,샤르도네 (Chardonnay) ,1,3,3,1
296,시라/쉬라즈 (Syrah/Shiraz) ,1,3,3,3
297,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,3,4
298,샤르도네 (Chardonnay) ,1,3,2,1
299,메를로 (Merlot) ,1,3,3,3
300,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,3,4
301,메를로 (Merlot) ,1,3,3,3
302,샤르도네 (Chardonnay) ,1,4,2,1
303,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,5
304,샤르도네 (Chardonnay) ,1,3,4,1
305,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,4
306,샤르도네 (Chardonnay) ,1,3,3,1
307,메를로 (Merlot) ,1,3,4,3
308,샤르도네 (Chardonnay) ,1,3,3,1
309,말벡 (Malbec) ,1,3,5,4
310,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,5,4
311,네비올로 (Nebbiolo) ,1,0,0,0
312,네비올로 (Nebbiolo) ,1,0,0,0
313,네비올로 (Nebbiolo) ,1,4,4,5
314,바르베라 (Barbera) ,1,4,4,4
315,돌체토 (Dolcetto) ,1,4,3,3
316,네비올로 (Nebbiolo) ,1,3,4,4
317,템프라니요 (Tempranillo) ,1,5,4,4
318,템프라니요 (Tempranillo) ,1,4,4,4
319,템프라니요 (Tempranillo) ,1,0,0,0
320,템프라니요 (Tempranillo) ,1,3,4,4
321,템프라니요 (Tempranillo) ,1,5,4,4
322,템프라니요 (Tempranillo) ,1,0,5,0
323,템프라니요 (Tempranillo) ,1,0,0,0
324,템프라니요 (Tempranillo) ,1,5,4,4
325,템프라니요 (Tempranillo) ,1,4,5,4
326,템프라니요 (Tempranillo) ,1,4,4,4
327,템프라니요 (Tempranillo) ,1,3,4,3
328,산지오베제 (Sangiovese) ,1,3,4,4
329,모나스트렐 (Monastrell) ,1,3,4,3
330,시라/쉬라즈 (Syrah/Shiraz) ,1,4,5,4
