,품종,당도,산도,바디,타닌
5438,샤르도네 (Chardonnay) ,1,0,3,0
5439,카베르네 소비뇽 (Cabernet Sauvignon) ,1,0,5,0
5440,카베르네 소비뇽 (Cabernet Sauvignon) ,1,0,5,0
5441,메를로 (Merlot) ,1,0,5,0
5442,메를로 (Merlot) ,1,0,5,0
5443,시라/쉬라즈 (Syrah/Shiraz) ,1,0,5,0
5444,카르메네르 (Carmenere) ,1,3,3,3
5445,카베르네 프랑 (Cabernet Franc) ,1,0,5,0
5446,피노 누아 (Pinot Noir) ,1,3,3,2
5447,시라/쉬라즈 (Syrah/Shiraz) ,1,0,4,0
5448,시라/쉬라즈 (Syrah/Shiraz) ,1,0,4,0
5449,메를로 (Merlot) ,1,3,4,3
5450,샤르도네 (Chardonnay) ,1,0,2,0
5451,샤르도네 (Chardonnay) ,1,0,2,0
5452,샤르도네 (Chardonnay) ,1,0,3,0
5453,시라/쉬라즈 (Syrah/Shiraz) ,2,3,4,4
5454,샤르도네 (Chardonnay) ,1,3,3,1
5455,시라/쉬라즈 (Syrah/Shiraz) ,1,3,5,4
5456,샤르도네 (Chardonnay) ,1,3,3,1
5457,샤르도네 (Chardonnay) ,1,3,3,1
5458,샤르도네 (Chardonnay) ,1,3,4,1
5459,프리미티보 (Primitivo) ,1,2,4,3
5460,프리미티보 (Primitivo) ,1,2,4,4
5461,프리미티보 (Primitivo) ,1,2,5,4
5462,브라케토 (Brachetto) ,4,1,2,1
5463,바르베라 (Barbera) ,1,0,4,0
5464,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,3,3
5465,메를로 (Merlot) ,1,3,4,3
5466,가르나차  (Garnacha) ,3,2,3,2
5467,피노 누아 (Pinot Noir) ,1,3,4,3
5468,피노 누아 (Pinot Noir) ,1,0,3,0
5469,말벡 (Malbec) ,1,3,3,4
5470,리슬링 (Riesling) ,1,5,3,1
5471,샤르도네 (Chardonnay) ,1,3,3,1
5472,카베르네 소비뇽 (Cabernet Sauvignon) ,1,0,4,0
5473,시라/쉬라즈 (Syrah/Shiraz) ,1,3,2,3
5474,샤르도네 (Chardonnay) ,1,3,3,1
5475,소비뇽 블랑 (Sauvignon Blanc) ,1,4,2,1
5476,피노 누아 (Pinot Noir) ,1,3,2,1
5477,게뷔르츠트라미너 (Gewurztraminer) ,2,2,3,1
5478,피노 누아 (Pinot Noir) ,1,4,2,2
5479,샤르도네 (Chardonnay) ,1,3,2,1
5480,피노 누아 (Pinot Noir) ,1,3,3,2
5481,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,3
5482,메를로 (Merlot) ,1,0,5,0
5483,산지오베제 (Sangiovese) ,1,4,4,4
5484,샤르도네 (Chardonnay) ,1,5,3,1
5485,브루넬로 (Brunello) ,1,4,4,3
5486,카베르네 소비뇽 (Cabernet Sauvignon) ,1,0,5,0
5487,카베르네 소비뇽 (Cabernet Sauvignon) ,1,0,5,0
5488,카베르네 소비뇽 (Cabernet Sauvignon) ,1,0,5,0
5489,카베르네 소비뇽 (Cabernet Sauvignon) ,1,0,5,0
5490,샤르도네 (Chardonnay) ,1,3,3,1
5491,템프라니요 (Tempranillo) ,4,0,3,0
5492,템프라니요 (Tempranillo) ,1,0,4,0
5493,템프라니요 (Tempranillo) ,1,3,4,4
5494,템프라니요 (Tempranillo) ,1,3,4,4
5495,네비올로 (Nebbiolo) ,1,4,2,3
5496,샤르도네 (Chardonnay) ,1,5,4,1
5497,샤르도네 (Chardonnay) ,1,5,5,1
5498,피노 누아 (Pinot Noir) ,2,4,4,3
5499,샤르도네 (Chardonnay) ,1,5,4,1
5500,샤르도네 (Chardonnay) ,1,4,4,1
5501,피노 누아 (Pinot Noir) ,2,4,4,3
5503,샤르도네 (Chardonnay) ,1,3,3,1
5504,리슬링 (Riesling) ,1,4,3,1
5505,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,3
5506,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,3
5507,슈냉 블랑 (Chenin Blanc) ,5,3,3,1
5508,슈냉 블랑 (Chenin Blanc) ,5,0,4,0
5509,슈냉 블랑 (Chenin Blanc) ,1,4,2,1
5510,소비뇽 블랑 (Sauvignon Blanc) ,2,4,2,1
5511,모스카토  (Moscato ) ,4,2,2,1
5512,모스카토 로사 (Moscato Rosa) ,4,2,2,1
5513,샤르도네 (Chardonnay) ,1,3,3,1
5514,시라/쉬라즈 (Syrah/Shiraz) ,1,3,3,3
5515,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,5,4
5516,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
5517,시라/쉬라즈 (Syrah/Shiraz) ,1,4,4,4
5518,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,5,4
5519,시라/쉬라즈 (Syrah/Shiraz) ,1,0,0,0
5520,시라/쉬라즈 (Syrah/Shiraz) ,1,3,5,5
5521,샤르도네 (Chardonnay) ,1,3,2,1
5522,메를로 (Merlot) ,1,3,3,3
5523,피노 누아 (Pinot Noir) ,1,3,3,2
5524,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
5525,카베르네 프랑 (Cabernet Franc) ,1,3,3,1
5526,샤르도네 (Chardonnay) ,1,4,3,1
5527,메를로 (Merlot) ,1,3,4,3
5528,메를로 (Merlot) ,1,3,4,3
5529,샤르도네 (Chardonnay) ,1,3,4,1
5530,카베르네 소비뇽 (Cabernet Sauvignon) ,1,2,4,3
5531,메를로 (Merlot) ,1,3,3,3
5532,샤르도네 (Chardonnay) ,1,3,2,1
5533,소비뇽 블랑 (Sauvignon Blanc) ,1,4,2,1
5534,샤르도네 (Chardonnay) ,1,4,2,1
5535,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,4
5536,소비뇽 블랑 (Sauvignon Blanc) ,1,4,2,1
5537,피노 누아 (Pinot Noir) ,1,4,3,3
5538,카베르네 프랑 (Cabernet Franc) ,1,3,3,3
5539,카베르네 프랑 (Cabernet Franc) ,1,3,4,3
5540,카베르네 프랑 (Cabernet Franc) ,2,4,3,2
5541,뮈스카데 (Muscadet) ,2,2,3,1
5542,피노 그리지오 (Pinot Grigio) ,1,3,3,1
5543,프리울라노 (Friulano) ,1,3,3,1
5544,산지오베제 (Sangiovese) ,1,4,4,3
5545,트레비아노 (Trebbiano) ,1,3,3,1
5546,트레비아노 (Trebbiano) ,1,3,3,1
5547,네비올로 (Nebbiolo) ,1,4,4,4
5548,네비올로 (Nebbiolo) ,1,0,4,0
5549,돌체토 (Dolcetto) ,1,3,4,3
5550,돌체토 (Dolcetto) ,1,3,4,3
5551,피아노 (Fiano) ,1,3,3,1
5552,네비올로 (Nebbiolo) ,1,4,4,5
5553,말바시아 이스트리아나  (Malvasia Istriana ) ,2,2,4,1
5554,리볼라 지알라 (Ribolla Gialla) ,1,3,4,1
5555,네비올로 (Nebbiolo) ,1,4,3,4
5556,프리울라노 (Friulano) ,1,3,3,1
5557,바르베라 (Barbera) ,1,3,4,4
5558,네비올로 (Nebbiolo) ,1,4,3,4
5559,네비올로 (Nebbiolo) ,1,4,4,4
5560,네비올로 (Nebbiolo) ,1,4,3,4
5561,네비올로 (Nebbiolo) ,1,0,4,0
5562,몬테풀치아노 (Montepulciano) ,1,4,4,3
5563,몬테풀치아노 (Montepulciano) ,1,3,4,4
5564,트레비아노 (Trebbiano) ,1,3,3,1
5565,샤르도네 (Chardonnay) ,1,0,3,0
5566,바르베라 (Barbera) ,1,4,3,3
5567,네비올로 (Nebbiolo) ,1,4,3,4
5568,소비뇽 블랑 (Sauvignon Blanc) ,1,3,3,1
5569,네비올로 (Nebbiolo) ,1,0,4,0
5570,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
5571,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,4
5572,트레비아노 (Trebbiano) ,5,3,5,1
5573,네비올로 (Nebbiolo) ,1,4,3,4
5574,네비올로 (Nebbiolo) ,1,4,3,4
5575,아르네이스 (Arneis) ,1,4,3,1
5576,브라케토 (Brachetto) ,4,1,3,2
5577,몬테풀치아노 (Montepulciano) ,1,4,4,3
5578,트레비아노 (Trebbiano) ,1,3,3,1
5579,산지오베제 그로쏘  (Sangiovese Grosso) ,1,3,4,4
5580,몬테풀치아노 (Montepulciano) ,1,0,3,0
5581,산지오베제 그로쏘  (Sangiovese Grosso) ,1,3,4,4
5582,산지오베제 그로쏘  (Sangiovese Grosso) ,1,3,5,4
5583,카베르네 프랑 (Cabernet Franc) ,1,3,4,4
5584,라크리마 (Lacrima) ,1,0,3,0
5585,프리울라노 (Friulano) ,1,0,3,0
5586,피노 비앙코 (Pinot Bianco) ,1,0,3,0
5587,피노 그리지오 (Pinot Grigio) ,1,0,3,0
5588,바르베라 (Barbera) ,1,3,3,4
5589,네비올로 (Nebbiolo) ,1,3,4,4
5590,메를로 (Merlot) ,1,3,3,3
5591,네비올로 (Nebbiolo) ,1,3,3,4
5592,네비올로 (Nebbiolo) ,1,3,4,4
5593,네비올로 (Nebbiolo) ,1,3,4,4
5594,산지오베제 (Sangiovese) ,1,3,4,3
5595,네비올로 (Nebbiolo) ,1,3,5,5
5596,네비올로 (Nebbiolo) ,1,4,5,5
5597,네비올로 (Nebbiolo) ,1,3,5,5
5598,소비뇽 블랑 (Sauvignon Blanc) ,1,3,2,1
5599,베르나키아 (Vernaccia) ,1,3,3,1
5600,프로세코 (Prosecco) ,1,3,2,1
5601,프로세코 (Prosecco) ,1,0,3,0
5602,산지오베제 그로쏘  (Sangiovese Grosso) ,1,3,4,4
5603,몬테풀치아노 (Montepulciano) ,1,3,3,4
5604,산지오베제 (Sangiovese) ,1,0,3,0
5605,산지오베제 그로쏘  (Sangiovese Grosso) ,1,0,4,0
5606,프로세코 (Prosecco) ,1,3,2,1
5607,네비올로 (Nebbiolo) ,1,0,4,0
5608,네비올로 (Nebbiolo) ,1,4,3,4
5609,네비올로 (Nebbiolo) ,1,4,3,4
5610,네비올로 (Nebbiolo) ,1,3,4,5
5611,네비올로 (Nebbiolo) ,1,0,4,0
5612,네비올로 (Nebbiolo) ,1,3,4,4
5613,리볼라 지알라 (Ribolla Gialla) ,1,4,4,1
5614,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
5615,산지오베제 (Sangiovese) ,1,0,4,0
5616,산지오베제 (Sangiovese) ,1,0,4,0
5617,메를로 (Merlot) ,1,0,4,0
5618,메를로 (Merlot) ,1,0,4,0
5619,콜로리노 (Colorino) ,1,0,4,0
5620,콜로리노 (Colorino) ,1,3,4,3
5621,피노 누아 (Pinot Noir) ,1,3,2,3
5622,피노 누아 (Pinot Noir) ,1,4,3,3
5623,말바시아 (Malvasia) ,1,3,3,1
5624,아이렌 (Airen) ,1,4,3,1
5625,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,3
5626,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,3,4
5627,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,5,4
5628,샤르도네 (Chardonnay) ,1,3,3,1
5629,시라/쉬라즈 (Syrah/Shiraz) ,1,3,3,3
5630,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,3,4
5631,산지오베제 (Sangiovese) ,1,3,3,2
5632,산지오베제 (Sangiovese) ,1,3,3,3
5633,산지오베제 (Sangiovese) ,0,0,4,0
5634,산지오베제 (Sangiovese) ,1,4,4,4
5635,바르베라 (Barbera) ,1,4,3,2
5636,네비올로 (Nebbiolo) ,1,0,5,0
5637,네비올로 (Nebbiolo) ,1,3,4,5
5638,산지오베제 (Sangiovese) ,0,0,5,0
5639,네비올로 (Nebbiolo) ,1,0,0,0
5640,네비올로 (Nebbiolo) ,1,0,0,0
5641,네비올로 (Nebbiolo) ,1,4,3,4
5642,돌체토 (Dolcetto) ,1,3,4,2
5643,브라케토 (Brachetto) ,1,0,0,0
5644,피노 누아 (Pinot Noir) ,2,5,2,1
5645,리슬링 (Riesling) ,1,5,2,1
5646,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,3,4
5647,샤르도네 (Chardonnay) ,1,4,2,1
5648,샤르도네 (Chardonnay) ,1,4,2,1
5649,샤르도네 (Chardonnay) ,1,3,3,1
5650,피노 그리지오 (Pinot Grigio) ,1,3,3,1
5651,샤르도네 (Chardonnay) ,1,4,2,1
5652,샤르도네 (Chardonnay) ,1,5,4,1
5653,피노 누아 (Pinot Noir) ,1,4,3,2
5654,레포스코 (Refosco) ,1,3,4,4
5655,시라/쉬라즈 (Syrah/Shiraz) ,1,3,5,4
5656,마르제미노 (Marzemino) ,1,4,5,5
5657,시라/쉬라즈 (Syrah/Shiraz) ,1,3,5,4
5658,템프라니요 (Tempranillo) ,1,0,4,0
5659,샤르도네 (Chardonnay) ,1,3,1,1
5660,모스카토  (Moscato ) ,4,2,2,1
5661,네비올로 (Nebbiolo) ,1,4,3,5
5662,아르네이스 (Arneis) ,1,3,2,1
5663,아르네이스 (Arneis) ,1,4,2,1
5664,네비올로 (Nebbiolo) ,1,3,3,3
5665,네비올로 (Nebbiolo) ,1,0,3,0
5666,네비올로 (Nebbiolo) ,1,0,5,0
5667,네비올로 (Nebbiolo) ,1,3,4,5
5668,바르베라 (Barbera) ,1,4,3,4
5669,네비올로 (Nebbiolo) ,1,4,3,3
5670,바르베라 (Barbera) ,1,3,4,4
5671,샤르도네 (Chardonnay) ,1,3,1,1
5672,피노 그리지오 (Pinot Grigio) ,1,3,1,1
5673,피노 비앙코 (Pinot Bianco) ,1,3,1,1
5674,소비뇽 블랑 (Sauvignon Blanc) ,1,3,3,1
5675,게뷔르츠트라미너 (Gewurztraminer) ,1,3,3,1
5676,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,4
5677,소비뇽 블랑 (Sauvignon Blanc) ,1,4,1,1
5678,브루넬로 (Brunello) ,1,4,4,4
5679,메를로 (Merlot) ,1,3,5,3
5680,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,3
5681,시라/쉬라즈 (Syrah/Shiraz) ,1,3,5,5
5682,몬테풀치아노 (Montepulciano) ,1,3,5,4
5683,템프라니요 (Tempranillo) ,1,3,3,3
5684,템프라니요 (Tempranillo) ,1,4,4,3
5685,리슬링 (Riesling) ,1,5,2,1
5686,리슬링 (Riesling) ,4,4,3,1
5687,리슬링 (Riesling) ,1,5,5,1
5688,리슬링 (Riesling) ,1,0,3,0
5689,리슬링 (Riesling) ,1,5,3,1
5690,리슬링 (Riesling) ,1,5,3,1
5691,리슬링 (Riesling) ,1,5,3,1
5692,피노 누아 (Pinot Noir) ,1,5,3,3
5693,리슬링 (Riesling) ,4,2,3,1
5694,리슬링 (Riesling) ,1,5,2,1
5695,리슬링 (Riesling) ,2,5,3,1
5696,리슬링 (Riesling) ,1,5,3,1
5697,리슬링 (Riesling) ,3,5,3,1
5698,리슬링 (Riesling) ,1,4,3,1
5699,리슬링 (Riesling) ,1,5,2,1
5700,소비뇽 블랑 (Sauvignon Blanc) ,1,4,2,1
5701,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,4
5702,리슬링 (Riesling) ,1,5,3,1
5703,샤르도네 (Chardonnay) ,1,3,4,1
5704,피노 누아 (Pinot Noir) ,1,3,4,3
5705,피노 누아 (Pinot Noir) ,1,3,4,3
5706,피노 누아 (Pinot Noir) ,1,4,3,3
5707,피노 누아 (Pinot Noir) ,1,3,4,3
5708,피노 누아 (Pinot Noir) ,1,3,4,3
5709,소비뇽 블랑 (Sauvignon Blanc) ,1,0,3,1
5710,진판델 (Zinfandel) ,3,2,2,1
5711,피노 누아 (Pinot Noir) ,1,4,4,4
5712,샤르도네 (Chardonnay) ,1,4,5,1
5713,피노 누아 (Pinot Noir) ,1,0,4,0
5714,피노 누아 (Pinot Noir) ,1,4,3,2
5715,피노 누아 (Pinot Noir) ,1,4,3,2
5716,피노 누아 (Pinot Noir) ,1,4,4,3
5717,피노 누아 (Pinot Noir) ,1,4,3,2
5718,샤르도네 (Chardonnay) ,1,5,4,1
5719,샤르도네 (Chardonnay) ,1,4,4,1
5720,피노 누아 (Pinot Noir) ,1,4,4,3
5721,피노 누아 (Pinot Noir) ,1,0,4,0
5722,피노 누아 (Pinot Noir) ,1,4,3,3
5723,피노 누아 (Pinot Noir) ,1,4,3,2
5724,피노 누아 (Pinot Noir) ,1,4,3,2
5725,피노 누아 (Pinot Noir) ,1,5,4,3
5726,피노 누아 (Pinot Noir) ,1,4,4,3
5727,샤르도네 (Chardonnay) ,1,4,4,1
5728,피노 누아 (Pinot Noir) ,1,0,5,0
5729,리슬링 (Riesling) ,1,4,4,1
5730,피노 그리 (Pinot Gris) ,1,4,4,1
5731,게뷔르츠트라미너 (Gewurztraminer) ,5,0,4,0
5732,게뷔르츠트라미너 (Gewurztraminer) ,5,3,5,1
5733,리슬링 (Riesling) ,5,3,5,1
5734,리슬링 (Riesling) ,5,3,5,1
5735,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,3,3
5736,샤르도네 (Chardonnay) ,1,3,1,1
5737,샤르도네 (Chardonnay) ,1,3,2,1
5738,샤르도네 (Chardonnay) ,1,4,1,1
5739,메를로 (Merlot) ,1,0,4,0
5740,산지오베제 (Sangiovese) ,1,0,3,0
5741,바르베라 (Barbera) ,1,4,3,3
5742,샤르도네 (Chardonnay) ,1,0,4,0
5743,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,3,3
5744,소비뇽 블랑 (Sauvignon Blanc) ,1,3,2,1
5745,피노 누아 (Pinot Noir) ,1,5,3,3
5746,소비뇽 블랑 (Sauvignon Blanc) ,1,0,2,0
5747,피노 누아 (Pinot Noir) ,1,4,4,3
5748,피노 누아 (Pinot Noir) ,1,4,4,2
5749,샤르도네 (Chardonnay) ,1,5,3,1
5750,샤르도네 (Chardonnay) ,1,4,3,1
5751,가메이 (Gamay) ,1,4,3,2
5752,피노 누아 (Pinot Noir) ,1,4,3,3
5753,피노 누아 (Pinot Noir) ,1,0,4,0
5754,피노 누아 (Pinot Noir) ,1,4,3,3
5755,피노 누아 (Pinot Noir) ,1,4,4,3
5756,피노 누아 (Pinot Noir) ,1,0,4,0
5757,피노 누아 (Pinot Noir) ,1,4,4,3
5758,피노 누아 (Pinot Noir) ,1,0,4,0
5759,피노 누아 (Pinot Noir) ,1,4,4,3
5760,피노 누아 (Pinot Noir) ,1,0,4,0
5761,피노 누아 (Pinot Noir) ,1,4,4,3
5762,피노 누아 (Pinot Noir) ,1,4,3,3
5763,피노 누아 (Pinot Noir) ,1,4,4,3
5764,피노 누아 (Pinot Noir) ,1,4,4,3
5765,피노 누아 (Pinot Noir) ,1,4,4,3
5766,샤르도네 (Chardonnay) ,1,5,4,1
5767,피노 누아 (Pinot Noir) ,1,4,3,3
5768,피노 누아 (Pinot Noir) ,1,0,4,0
5769,피노 누아 (Pinot Noir) ,1,4,4,3
5770,피노 누아 (Pinot Noir) ,1,4,3,3
5771,피노 누아 (Pinot Noir) ,1,4,3,2
5772,샤르도네 (Chardonnay) ,1,4,3,1
5773,피노 누아 (Pinot Noir) ,1,4,4,3
5774,피노 누아 (Pinot Noir) ,1,4,3,2
5775,피노 누아 (Pinot Noir) ,1,5,4,3
5776,피노 누아 (Pinot Noir) ,1,5,4,3
5777,피노 누아 (Pinot Noir) ,1,4,3,3
5778,피노 누아 (Pinot Noir) ,1,5,3,2
5779,피노 누아 (Pinot Noir) ,1,5,4,2
5780,피노 누아 (Pinot Noir) ,1,4,4,3
5781,피노 누아 (Pinot Noir) ,1,4,3,3
5782,샤르도네 (Chardonnay) ,1,4,4,1
5783,샤르도네 (Chardonnay) ,1,0,3,0
5784,샤르도네 (Chardonnay) ,1,4,3,1
5785,샤르도네 (Chardonnay) ,1,4,4,1
5786,샤르도네 (Chardonnay) ,1,4,3,1
5787,피노 누아 (Pinot Noir) ,1,3,3,2
5788,시라/쉬라즈 (Syrah/Shiraz) ,1,4,4,4
5789,시라/쉬라즈 (Syrah/Shiraz) ,1,0,4,0
5790,시라/쉬라즈 (Syrah/Shiraz) ,1,4,4,3
5791,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
5792,카베르네 프랑 (Cabernet Franc) ,1,4,4,3
5793,슈냉 블랑 (Chenin Blanc) ,2,4,3,1
5794,바르베라 (Barbera) ,1,4,3,3
5795,리슬링 (Riesling) ,2,5,3,1
5796,샤르도네 (Chardonnay) ,1,3,4,1
5797,샤르도네 (Chardonnay) ,1,0,4,0
5798,시라/쉬라즈 (Syrah/Shiraz) ,1,4,5,4
5799,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,5,4
5800,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
5801,리슬링 (Riesling) ,2,0,3,0
5802,시라/쉬라즈 (Syrah/Shiraz) ,1,3,3,4
5803,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,5,4
5804,시라/쉬라즈 (Syrah/Shiraz) ,1,4,5,4
5805,리슬링 (Riesling) ,1,3,3,1
5806,몬테풀치아노 (Montepulciano) ,1,0,4,0
5807,피노 누아 (Pinot Noir) ,1,3,3,2
5808,피노 누아 (Pinot Noir) ,1,3,4,3
5809,피노 누아 (Pinot Noir) ,1,4,2,2
5810,샤르도네 (Chardonnay) ,1,5,4,1
5811,비오니에 (Viognier) ,1,0,3,0
5812,코르테제 (Cortese) ,1,4,3,1
5813,모스카토  (Moscato ) ,4,2,3,1
5814,돌체토 (Dolcetto) ,1,3,4,3
5815,몬테풀치아노 (Montepulciano) ,1,4,4,3
5816,몬테풀치아노 (Montepulciano) ,1,4,3,3
5817,베르디키오 비앙코 (Verdicchio Bianco) ,1,3,3,1
5818,네비올로 (Nebbiolo) ,1,0,5,0
5819,네비올로 (Nebbiolo) ,1,4,3,4
5820,아르네이스 (Arneis) ,1,4,3,1
5821,네비올로 (Nebbiolo) ,1,4,3,4
5822,바르베라 (Barbera) ,1,4,3,3
5823,네비올로 (Nebbiolo) ,1,4,5,5
5824,네비올로 (Nebbiolo) ,1,4,5,4
5825,바르베라 (Barbera) ,1,4,5,2
5826,돌체토 (Dolcetto) ,1,3,4,3
5827,네비올로 (Nebbiolo) ,1,4,5,4
5828,돌체토 (Dolcetto) ,1,4,5,4
5829,바르베라 (Barbera) ,1,4,5,4
5830,네비올로 (Nebbiolo) ,1,4,5,5
5831,네비올로 (Nebbiolo) ,1,4,4,5
5832,돌체토 (Dolcetto) ,1,3,4,3
5833,네비올로 (Nebbiolo) ,1,4,5,5
5834,네비올로 (Nebbiolo) ,1,4,5,5
5835,바르베라 (Barbera) ,1,4,4,3
5836,네비올로 (Nebbiolo) ,1,4,5,4
5837,네비올로 (Nebbiolo) ,1,0,3,0
5838,돈펠더 (Dornfelder) ,5,2,3,3
5839,리슬링 (Riesling) ,2,0,3,0
5840,리슬링 (Riesling) ,4,0,3,0
5841,리슬링 (Riesling) ,4,2,3,1
5842,피노 누아 (Pinot Noir) ,1,3,4,3
5843,샤르도네 (Chardonnay) ,1,3,3,1
5844,시라/쉬라즈 (Syrah/Shiraz) ,1,4,4,3
5845,세미용 (Semillon) ,5,0,4,0
5846,메를로 (Merlot) ,1,3,3,3
5847,피노 누아 (Pinot Noir) ,1,5,3,2
5848,샤르도네 (Chardonnay) ,1,5,1,1
5849,샤르도네 (Chardonnay) ,1,4,2,1
5850,샤르도네 (Chardonnay) ,1,4,4,1
5851,샤르도네 (Chardonnay) ,1,4,3,1
5852,피노 누아 (Pinot Noir) ,1,4,3,4
5853,샤르도네 (Chardonnay) ,1,4,3,1
5854,네비올로 (Nebbiolo) ,1,4,4,3
5855,네비올로 (Nebbiolo) ,1,0,5,0
5856,네비올로 (Nebbiolo) ,1,0,4,0
5857,네비올로 (Nebbiolo) ,1,0,4,0
5858,샤르도네 (Chardonnay) ,1,0,3,0
5859,소비뇽 블랑 (Sauvignon Blanc) ,1,0,2,0
5860,소비뇽 블랑 (Sauvignon Blanc) ,1,0,4,0
5861,피노 누아 (Pinot Noir) ,1,0,3,0
5862,피노 누아 (Pinot Noir) ,1,4,2,2
5863,알리고테 (Aligote) ,1,5,2,1
5864,피노 누아 (Pinot Noir) ,1,0,4,0
5865,샤르도네 (Chardonnay) ,1,3,2,1
5866,피노 누아 (Pinot Noir) ,1,3,3,3
5867,피노 누아 (Pinot Noir) ,1,4,3,2
5868,피노 누아 (Pinot Noir) ,1,4,4,3
5869,피노 누아 (Pinot Noir) ,1,4,3,2
5870,피노 누아 (Pinot Noir) ,1,4,4,2
5871,피노 누아 (Pinot Noir) ,1,3,3,3
5872,피노 누아 (Pinot Noir) ,1,3,3,3
5873,피노 누아 (Pinot Noir) ,1,3,3,3
5874,피노 누아 (Pinot Noir) ,1,5,4,2
5875,피노 누아 (Pinot Noir) ,1,3,3,3
5876,샤르도네 (Chardonnay) ,1,5,3,1
5877,샤르도네 (Chardonnay) ,1,5,4,1
5878,샤르도네 (Chardonnay) ,1,4,4,1
5879,피노 누아 (Pinot Noir) ,1,4,4,3
5880,피노 누아 (Pinot Noir) ,1,0,4,0
5881,피노 누아 (Pinot Noir) ,1,0,4,0
5882,피노 누아 (Pinot Noir) ,1,0,4,0
5883,피노 누아 (Pinot Noir) ,1,0,5,0
5884,피노 누아 (Pinot Noir) ,1,0,5,0
5885,피노 누아 (Pinot Noir) ,1,0,4,0
5886,피노 누아 (Pinot Noir) ,1,0,4,0
5887,피노 누아 (Pinot Noir) ,1,0,3,0
5888,피노 누아 (Pinot Noir) ,1,0,3,0
5889,피노 누아 (Pinot Noir) ,1,5,3,2
5890,피노 누아 (Pinot Noir) ,1,0,4,0
5891,피노 누아 (Pinot Noir) ,1,0,4,0
5892,피노 누아 (Pinot Noir) ,1,0,4,0
5893,피노 누아 (Pinot Noir) ,1,0,4,0
5894,피노 누아 (Pinot Noir) ,1,0,4,0
5895,피노 누아 (Pinot Noir) ,1,0,5,0
5896,피노 누아 (Pinot Noir) ,1,0,5,0
5897,피노 누아 (Pinot Noir) ,1,0,5,0
5898,피노 누아 (Pinot Noir) ,1,0,4,0
5899,피노 누아 (Pinot Noir) ,1,4,3,2
5900,피노 누아 (Pinot Noir) ,1,0,4,0
5901,피노 누아 (Pinot Noir) ,1,4,3,2
5902,피노 누아 (Pinot Noir) ,1,0,3,0
5903,샤르도네 (Chardonnay) ,1,0,5,0
5904,샤르도네 (Chardonnay) ,1,0,5,0
5905,샤르도네 (Chardonnay) ,1,5,5,1
5906,피노 누아 (Pinot Noir) ,1,0,4,0
5907,피노 누아 (Pinot Noir) ,1,0,4,0
5908,피노 누아 (Pinot Noir) ,1,0,4,0
5909,피노 누아 (Pinot Noir) ,1,0,4,0
5910,피노 누아 (Pinot Noir) ,1,0,3,0
5911,피노 누아 (Pinot Noir) ,1,0,3,0
5912,샤르도네 (Chardonnay) ,1,4,4,1
5913,피노 누아 (Pinot Noir) ,1,5,4,3
5914,샤르도네 (Chardonnay) ,1,0,4,0
5915,샤르도네 (Chardonnay) ,1,0,4,0
5916,샤르도네 (Chardonnay) ,1,0,4,0
5917,샤르도네 (Chardonnay) ,1,0,4,0
5918,샤르도네 (Chardonnay) ,1,0,4,0
5919,샤르도네 (Chardonnay) ,1,0,4,0
5920,피노 누아 (Pinot Noir) ,1,0,3,0
5921,피노 누아 (Pinot Noir) ,1,0,3,0
5922,피노 누아 (Pinot Noir) ,1,0,3,0
5923,피노 누아 (Pinot Noir) ,1,4,3,2
5924,샤르도네 (Chardonnay) ,1,5,5,1
5925,샤르도네 (Chardonnay) ,1,4,5,1
5926,샤르도네 (Chardonnay) ,1,0,3,0
5927,샤르도네 (Chardonnay) ,1,4,4,1
5928,피노 누아 (Pinot Noir) ,1,0,3,0
5929,피노 누아 (Pinot Noir) ,1,4,4,3
5930,피노 누아 (Pinot Noir) ,1,4,3,3
